advertiser,created_at,message,targets,targeting
Bonobos,2018-02-18 16:58:17.489939-05,"<p>If your dress shirts are holding your power handshake back, our Jetsetter Stretch Dress Shirts are ready to take over the job. Let’s get to work.</p>","[{""target"": ""List""}, {""target"": ""Gender"", ""segment"": ""men""}, {""target"": ""Age"", ""segment"": ""18 and older""}, {""target"": ""Region"", ""segment"": ""the United States""}]","<div><div class=""_4-i0 _26c5""><div class=""clearfix""><div class=""_51-u rfloat _ohf""><a class=""_42ft _5upp _50zy layerCancel _51-t _50-0 _50z-"" href=""nullblank"">Close</a></div><div><h3 id=""u_2f_0"" class=""_52c9"">About This Facebook Ad</h3></div></div></div><div class=""_4-i2 _pig _4s3a _50f4""><div class=""_4uov""><div class=""_4uoz""><div id=""u_2f_1""></div><div class=""_3-8x""><span class=""_4v6n""><div id=""u_2f_2"">One reason you're seeing this ad is that <b id=""ad_prefs_advertiser"">Bonobos</b> added you to a list of people they want to reach on Facebook. They were able to reach you because you're on their customer list or you've provided them with your contact information off of Facebook.</div></span><div class=""_4hcd""><span>There may be other reasons you're seeing this ad, including that Bonobos wants to reach <b>men ages 18 and older who live or were recently in the United States</b>. This is information based on your Facebook profile and where you've connected to the internet.</span></div></div></div><div></div><div class=""_4uor _52jw""><div class=""_5aj7"" id=""u_2f_3""><div class=""_4bl9""></div><div class=""_4bl7 _5r7v""><i class=""img sp_PVuC7pFCHqd sx_1baca1""><u>gear</u></i></div><div class=""_4bl7""><a href=""https://www.facebook.com/ads/preferences/"">Manage Your Ad Preferences</a></div></div></div><div class=""mhs pluginBoxDivider pluginBoxDividerGray _4uos""></div><div class=""_4uou""><div class=""_26c6 _3es4 fsl fwb fcb"">Tell Us What You Think</div><div><div class=""clearfix _ikh"" id=""u_2f_4""><div class=""_4bl7 _3es3"">Was this explanation useful?</div><div class=""_4bl7 _2pit""><a href=""nullblank"" id=""u_2f_5"">Yes</a></div><div class=""_4bl9 _2pit""><a href=""nullblank"" id=""u_2f_6"">No</a></div></div><span class=""hidden_elem _3es3"" id=""u_2f_7"">Thanks for your rating.</span></div></div></div></div><div class=""_5lnf uiOverlayFooter _5a8u _4866""><table class=""uiGrid _51mz uiOverlayFooterGrid""><tbody><tr class=""_51mx""><td class=""_51m- prs uiOverlayFooterMessage""><a><i class=""_4868 img sp_FVhLSYarIy5 sx_0ad9b2""><u>info</u></i><span class=""_4867"">Learn more about Facebook Ads</span></a></td><td class=""_51m- uiOverlayFooterButtons _51mw""></td></tr></tbody></table></div></div>"
Homebiogas,2017-11-14 07:48:50.595558-05,<p>Meet HomeBiogas 2.0 - The best Eco appliance that turns your food leftovers into cooking gas!<br> Get your 40% early-bird discount on Kickstarter</p>,"[{""target"": ""Website"", ""segment"": ""people who have visited their website or used one of their apps""}, {""target"": ""Gender"", ""segment"": ""men""}, {""target"": ""Age"", ""segment"": ""25 and older""}, {""target"": ""Region"", ""segment"": ""Arizona""}]","<div><div class=""_4-i0 _26c5""><div class=""clearfix""><div class=""_51-u rfloat _ohf""><a class=""_42ft _5upp _50zy layerCancel _51-t _50-0 _50z-"" href=""nullblank"">Close</a></div><div><h3 id=""u_i_0"" class=""_52c9"">About This Facebook Ad</h3></div></div></div><div class=""_4-i2 _pig _4s3a _50f4""><div class=""_4uov""><div class=""_4uoz""><div id=""u_i_1""></div><div class=""_3-8x""><span class=""_4v6n""><div id=""u_i_2"">One reason you're seeing this ad is that <b id=""ad_prefs_advertiser"">Homebiogas</b> wants to reach people who have visited their website or used one of their apps. This is based on customer information provided by Homebiogas.</div></span><div class=""_4hcd""><span>There may be other reasons you're seeing this ad, including that Homebiogas wants to reach <b>men ages 25 and older who live or were recently in Arizona</b>. This is information based on your Facebook profile and where you've connected to the internet.</span></div></div></div><div></div><div class=""_4uor _52jw""><div class=""_5aj7"" id=""u_i_3""><div class=""_4bl9""></div><div class=""_4bl7 _5r7v""><i class=""img sp_P_sQPvHyhCI_2x sx_b282ea""><u>gear</u></i></div><div class=""_4bl7""><a href=""https://www.facebook.com/ads/preferences/"">Manage Your Ad Preferences</a></div></div></div><div class=""mhs pluginBoxDivider pluginBoxDividerGray _4uos""></div><div class=""_4uou""><div class=""_26c6 _3es4 fsl fwb fcb"">Tell Us What You Think</div><div><div class=""clearfix _ikh"" id=""u_i_4""><div class=""_4bl7 _3es3"">Was this explanation useful?</div><div class=""_4bl7 _2pit""><a href=""nullblank"" id=""u_i_5"">Yes</a></div><div class=""_4bl9 _2pit""><a href=""nullblank"" id=""u_i_6"">No</a></div></div><span class=""hidden_elem _3es3"" id=""u_i_7"">Thanks for your rating.</span></div></div></div></div><div class=""_5lnf uiOverlayFooter _5a8u _4866""><table class=""uiGrid _51mz uiOverlayFooterGrid""><tbody><tr class=""_51mx""><td class=""_51m- prs uiOverlayFooterMessage""><a><i class=""_4868 img sp__5swxhHjXJ__2x sx_af37b3""><u>info</u></i><span class=""_4867"">Learn more about Facebook Ads</span></a></td><td class=""_51m- uiOverlayFooterButtons _51mw""></td></tr></tbody></table></div></div>"
Orvis,2017-10-03 13:50:11.391748-04,"<p>If you’re like us, sometimes you head straight to the river, the field, or the mountain straight from the office. That’s why we design clothes for your lifestyle — sophisticated enough for the boardroom, rugged enough for whatever comes after. We’re confident you’ll love what we have to offer. That’s why we’re offering $25 off your purchase of $150 or more. Simply click this ad and your discount will be applied at checkout.</p>","[{""target"": ""Interest"", ""segment"": ""Charles Tyrwhitt""}, {""target"": ""Gender"", ""segment"": ""men""}, {""target"": ""Age"", ""segment"": ""25 and older""}, {""target"": ""Region"", ""segment"": ""the United States""}]","<div><div class=""_4-i0 _26c5""><div class=""clearfix""><div class=""_51-u rfloat _ohf""><a class=""_42ft _5upp _50zy layerCancel _51-t _50-0 _50z-"" href=""nullblank"">Close</a></div><div><h3 id=""u_a_0"" class=""_52c9"">About This Facebook Ad</h3></div></div></div><div class=""_4-i2 _pig _4s3a _50f4""><div class=""_4uov""><div class=""_4uoz""><div id=""u_a_1""></div><div class=""_3-8x""><span class=""_4v6n""><div id=""u_a_2"">One reason you're seeing this ad is that <b id=""ad_prefs_advertiser"">Orvis</b> wants to reach people interested in <b id=""ad_prefs_interest"">Charles Tyrwhitt</b>, based on activity such as liking Pages or clicking on ads.</div></span><div class=""_4hcd""><span>There may be other reasons you're seeing this ad, including that Orvis wants to reach <b>men ages 25 and older who live or were recently in the United States</b>. This is information based on your Facebook profile and where you've connected to the internet.</span></div></div></div><div id=""u_a_3""></div><div class=""_4uor _52jw""><div class=""_5aj7"" id=""u_a_4""><div class=""_4bl9""></div><div class=""_4bl7 _5r7v""><i class=""img sp_P_sQPvHyhCI sx_36fa86""><u>gear</u></i></div><div class=""_4bl7""><a href=""https://www.facebook.com/ads/preferences/"">Manage Your Ad Preferences</a></div></div></div><div class=""mhs pluginBoxDivider pluginBoxDividerGray _4uos""></div><div class=""_4uou""><div class=""_26c6 _3es4 fsl fwb fcb"">Tell Us What You Think</div><div><div class=""clearfix _ikh"" id=""u_a_5""><div class=""_4bl7 _3es3"">Was this explanation useful?</div><div class=""_4bl7 _2pit""><a href=""nullblank"" id=""u_a_6"">Yes</a></div><div class=""_4bl9 _2pit""><a href=""nullblank"" id=""u_a_7"">No</a></div></div><span class=""hidden_elem _3es3"" id=""u_a_8"">Thanks for your rating.</span></div></div></div></div><div class=""_5lnf uiOverlayFooter _5a8u _4866""><table class=""uiGrid _51mz uiOverlayFooterGrid""><tbody><tr class=""_51mx""><td class=""_51m- prs uiOverlayFooterMessage""><a><i class=""_4868 img sp_kB6Zef-RHdF sx_d2bb26""><u>info</u></i><span class=""_4867"">Learn more about Facebook Ads</span></a></td><td class=""_51m- uiOverlayFooterButtons _51mw""></td></tr></tbody></table></div></div>"
ACLU,2018-08-27 22:31:39.457308-04,"<p>This Election Day, we all have a job to do—to vote like our rights depend on it. That’s why we’re asking you to become an ACLU Voter. An ACLU Voter demands that candidates will fight back against the Trump administration's cruel anti-immigrant agenda. Add your name now to join us.</p>","[{""target"": ""Age"", ""segment"": ""18 to 34""}, {""target"": ""MinAge"", ""segment"": ""18""}, {""target"": ""MaxAge"", ""segment"": ""34""}, {""target"": ""Gender"", ""segment"": ""men""}, {""target"": ""Retargeting"", ""segment"": ""people who may be similar to their customers""}, {""target"": ""Region"", ""segment"": ""the United States""}]","<div><div class=""_4-i0 _26c5""><div class=""clearfix""><div class=""_51-u rfloat _ohf""><a class=""_42ft _5upp _50zy layerCancel _51-t _50-0 _50z-"" href=""#"">Close</a></div><div><h3 id=""u_8g_0"" class=""_52c9"">About This Facebook Ad</h3></div></div></div><div class=""_4-i2 _pig _4s3a _50f4""><div class=""_4uov""><div class=""_4uoz""><div id=""u_8g_1""></div><div class=""_3-8x""><span class=""_4v6n""><div id=""u_8g_2"">One reason you're seeing this ad is that <b id=""ad_prefs_advertiser"">ACLU</b> wants to reach <b>people who may be similar to their customers</b>. <a id=""ad_prefs_link"">Learn more.</a></div></span><div class=""_4hcd""><span>There may be other reasons you're seeing this ad, including that ACLU wants to reach <b>men ages 18 to 34 who live or were recently in the United States</b>. This is information based on your Facebook profile and where you've connected to the internet.</span></div></div></div><div></div><div class=""_4uor _52jw""><div class=""_5aj7"" id=""u_8g_3""><div class=""_4bl9""></div><div class=""_4bl7 _5r7v""><i class=""img sp_lXFspPUe6fO_1_5x sx_19ad04""><u>gear</u></i></div><div class=""_4bl7""><a href=""https://www.facebook.com/ads/preferences/"">Manage Your Ad Preferences</a></div></div></div><div class=""mhs _1ray _1ra- _4uos""></div><div class=""_4uou""><div class=""_26c6 _3es4 fsl fwb fcb"">Tell Us What You Think</div><div><div class=""clearfix _ikh"" id=""u_8g_4""><div class=""_4bl7 _3es3"">Was this explanation useful?</div><div class=""_4bl7 _2pit""><a href=""#"" id=""u_8g_5"">Yes</a></div><div class=""_4bl9 _2pit""><a href=""#"" id=""u_8g_6"">No</a></div></div><span class=""hidden_elem _3es3"" id=""u_8g_7"">Thanks for your rating.</span></div></div></div></div><div class=""_5lnf uiOverlayFooter _5a8u _4866""><table class=""uiGrid _51mz uiOverlayFooterGrid""><tbody><tr class=""_51mx""><td class=""_51m- prs uiOverlayFooterMessage""><a><i class=""_4868 img sp_Av_XIdEJwsY_1_5x sx_9a7602""><u>info</u></i><span class=""_4867"">Learn more about Facebook Ads</span></a></td><td class=""_51m- uiOverlayFooterButtons _51mw""></td></tr></tbody></table></div></div>"
San Francisco Theological Seminary,2017-10-11 13:37:29.932244-04,<p>Connect Your Faith &amp; Career at SFTS! Gorgeous SF Bay Campus. Up to $300 Travel Voucher</p>,"[{""target"": ""Interest"", ""segment"": ""Catholic Church""}, {""target"": ""Gender"", ""segment"": ""men""}, {""target"": ""Age"", ""segment"": ""21 to 45""}, {""target"": ""Region"", ""segment"": ""the United States""}]","<div><div class=""_4-i0 _26c5""><div class=""clearfix""><div class=""_51-u rfloat _ohf""><a class=""_42ft _5upp _50zy layerCancel _51-t _50-0 _50z-"" href=""nullblank"">Close</a></div><div><h3 id=""u_3c_0"" class=""_52c9"">About This Facebook Ad</h3></div></div></div><div class=""_4-i2 _pig _4s3a _50f4""><div class=""_4uov""><div class=""_4uoz""><div id=""u_3c_1""></div><div class=""_3-8x""><span class=""_4v6n""><div id=""u_3c_2"">One reason you're seeing this ad is that <b id=""ad_prefs_advertiser"">San Francisco Theological Seminary</b> wants to reach people interested in <b id=""ad_prefs_interest"">Catholic Church</b>, based on activity such as liking Pages or clicking on ads.</div></span><div class=""_4hcd""><span>There may be other reasons you're seeing this ad, including that San Francisco Theological Seminary wants to reach <b>men ages 21 to 45 who live in the United States</b>. This is information based on your Facebook profile and where you've connected to the internet.</span></div></div></div><div id=""u_3c_3""></div><div class=""_4uor _52jw""><div class=""_5aj7"" id=""u_3c_4""><div class=""_4bl9""></div><div class=""_4bl7 _5r7v""><i class=""img sp_P_sQPvHyhCI sx_36fa86""><u>gear</u></i></div><div class=""_4bl7""><a href=""https://www.facebook.com/ads/preferences/"">Manage Your Ad Preferences</a></div></div></div><div class=""mhs pluginBoxDivider pluginBoxDividerGray _4uos""></div><div class=""_4uou""><div class=""_26c6 _3es4 fsl fwb fcb"">Tell Us What You Think</div><div><div class=""clearfix _ikh"" id=""u_3c_5""><div class=""_4bl7 _3es3"">Was this explanation useful?</div><div class=""_4bl7 _2pit""><a href=""nullblank"" id=""u_3c_6"">Yes</a></div><div class=""_4bl9 _2pit""><a href=""nullblank"" id=""u_3c_7"">No</a></div></div><span class=""hidden_elem _3es3"" id=""u_3c_8"">Thanks for your rating.</span></div></div></div></div><div class=""_5lnf uiOverlayFooter _5a8u _4866""><table class=""uiGrid _51mz uiOverlayFooterGrid""><tbody><tr class=""_51mx""><td class=""_51m- prs uiOverlayFooterMessage""><a><i class=""_4868 img sp_MxRwJsQRZzH sx_ab8721""><u>info</u></i><span class=""_4867"">Learn more about Facebook Ads</span></a></td><td class=""_51m- uiOverlayFooterButtons _51mw""></td></tr></tbody></table></div></div>"
RX Injury Help,2018-06-28 09:26:02.631081-04,"<p>Anyone with HIV that took one or more of Gilead’s Tenofovir (TDF) drugs and then suffered kidney disease and/or bone density loss may be entitled to compensation for medical bills, lost wages, pain and suffering, and more. File a Claim Easily Here, Call Now Or Apply Here. Time is limited to file. <br> <span class=""_5mfr _47e3""><img class=""img"" src=""https://pp-facebook-ads.s3.amazonaws.com/images/emoji.php/v9/fec/2/16/1f4de.png""><span class=""_7oe"">📞</span></span> (888) 597-5440</p>","[{""target"": ""Age"", ""segment"": ""21 and older""}, {""target"": ""Interest"", ""segment"": ""GLAAD""}, {""target"": ""Gender"", ""segment"": ""men""}, {""target"": ""Region"", ""segment"": ""the United States""}]","<div><div class=""_4-i0 _26c5""><div class=""clearfix""><div class=""_51-u rfloat _ohf""><a class=""_42ft _5upp _50zy layerCancel _51-t _50-0 _50z-"" href=""nullblank"">Close</a></div><div><h3 id=""u_25_0"" class=""_52c9"">About This Facebook Ad</h3></div></div></div><div class=""_4-i2 _pig _4s3a _50f4""><div class=""_4uov""><div class=""_4uoz""><div id=""u_25_1""></div><div class=""_3-8x""><span class=""_4v6n""><div id=""u_25_2"">One reason you're seeing this ad is that <b id=""ad_prefs_advertiser"">RX Injury Help</b> wants to reach people interested in <b id=""ad_prefs_interest"">GLAAD</b>, based on activity such as liking Pages or clicking on ads.</div></span><div class=""_4hcd""><span>There may be other reasons you're seeing this ad, including that RX Injury Help wants to reach <b>men ages 21 and older who live in the United States</b>. This is information based on your Facebook profile and where you've connected to the internet.</span></div></div></div><div id=""u_25_3""></div><div class=""_4uor _52jw""><div class=""_5aj7"" id=""u_25_4""><div class=""_4bl9""></div><div class=""_4bl7 _5r7v""><i class=""img sp_lXFspPUe6fO_2x sx_0ec8d2""><u>gear</u></i></div><div class=""_4bl7""><a href=""https://www.facebook.com/ads/preferences/"">Manage Your Ad Preferences</a></div></div></div><div class=""mhs _1ray _1ra- _4uos""></div><div class=""_4uou""><div class=""_26c6 _3es4 fsl fwb fcb"">Tell Us What You Think</div><div><div class=""clearfix _ikh"" id=""u_25_5""><div class=""_4bl7 _3es3"">Was this explanation useful?</div><div class=""_4bl7 _2pit""><a href=""nullblank"" id=""u_25_6"">Yes</a></div><div class=""_4bl9 _2pit""><a href=""nullblank"" id=""u_25_7"">No</a></div></div><span class=""hidden_elem _3es3"" id=""u_25_8"">Thanks for your rating.</span></div></div></div></div><div class=""_5lnf uiOverlayFooter _5a8u _4866""><table class=""uiGrid _51mz uiOverlayFooterGrid""><tbody><tr class=""_51mx""><td class=""_51m- prs uiOverlayFooterMessage""><a><i class=""_4868 img sp_-wGGqwqeEPG_2x sx_a15d0e""><u>info</u></i><span class=""_4867"">Learn more about Facebook Ads</span></a></td><td class=""_51m- uiOverlayFooterButtons _51mw""></td></tr></tbody></table></div></div>"
George Scott for Congress,2018-05-08 12:32:11.669602-04,"<p>George Scott is a veteran, community leader, and a lifelong Democrat running to take on Scott Perry in the General Election in the new PA 10th District this fall. Learn more about his positions on issues, his story, and how to volunteer with this grassroots campaign. <a class=""_58cn"" href=""https://www.facebook.com/hashtag/turnitblue""><span class=""_5afx""><span class=""_58cl _5afz"">#</span><span class=""_58cm"">turnitblue</span></span></a> <a class=""_58cn"" href=""https://www.facebook.com/hashtag/bluewave""><span class=""_5afx""><span class=""_58cl _5afz"">#</span><span class=""_58cm"">bluewave</span></span></a> <a class=""_58cn"" href=""https://www.facebook.com/hashtag/2018midterms""><span class=""_5afx""><span class=""_58cl _5afz"">#</span><span class=""_58cm"">2018midterms</span></span></a></p>","[{""target"": ""Age"", ""segment"": ""18 and older""}, {""target"": ""MinAge"", ""segment"": ""18""}, {""target"": ""Interest"", ""segment"": ""Hillary Clinton""}, {""target"": ""State"", ""segment"": ""Pennsylvania""}, {""target"": ""City"", ""segment"": ""York""}, {""target"": ""Gender"", ""segment"": ""men""}]","<div><div class=""_4-i0 _26c5""><div class=""clearfix""><div class=""_51-u rfloat _ohf""><a class=""_42ft _5upp _50zy layerCancel _51-t _50-0 _50z-"" href=""nullblank"">Close</a></div><div><h3 id=""u_6fx_0"" class=""_52c9"">About This Facebook Ad</h3></div></div></div><div class=""_4-i2 _pig _4s3a _50f4""><div class=""_4uov""><div class=""_4uoz""><div id=""u_6fx_1""></div><div class=""_3-8x""><span class=""_4v6n""><div id=""u_6fx_2"">One reason you're seeing this ad is that <b id=""ad_prefs_advertiser"">George Scott for Congress</b> wants to reach people interested in <b id=""ad_prefs_interest"">Hillary Clinton</b>, based on activity such as liking Pages or clicking on ads.</div></span><div class=""_4hcd""><span>There may be other reasons you're seeing this ad, including that George Scott for Congress wants to reach <b>men ages 18 and older who live near York, Pennsylvania</b>. This is information based on your Facebook profile and where you've connected to the internet.</span></div></div></div><div id=""u_6fx_3""></div><div class=""_4uor _52jw""><div class=""_5aj7"" id=""u_6fx_4""><div class=""_4bl9""></div><div class=""_4bl7 _5r7v""><i class=""img sp_1MOxAP3QqLb sx_e75604""><u>gear</u></i></div><div class=""_4bl7""><a href=""https://www.facebook.com/ads/preferences/"">Manage Your Ad Preferences</a></div></div></div><div class=""mhs _1ray _1ra- _4uos""></div><div class=""_4uou""><div class=""_26c6 _3es4 fsl fwb fcb"">Tell Us What You Think</div><div><div class=""clearfix _ikh"" id=""u_6fx_5""><div class=""_4bl7 _3es3"">Was this explanation useful?</div><div class=""_4bl7 _2pit""><a href=""nullblank"" id=""u_6fx_6"">Yes</a></div><div class=""_4bl9 _2pit""><a href=""nullblank"" id=""u_6fx_7"">No</a></div></div><span class=""hidden_elem _3es3"" id=""u_6fx_8"">Thanks for your rating.</span></div></div></div></div><div class=""_5lnf uiOverlayFooter _5a8u _4866""><table class=""uiGrid _51mz uiOverlayFooterGrid""><tbody><tr class=""_51mx""><td class=""_51m- prs uiOverlayFooterMessage""><a><i class=""_4868 img sp_H9pzGrhptNk sx_cf150c""><u>info</u></i><span class=""_4867"">Learn more about Facebook Ads</span></a></td><td class=""_51m- uiOverlayFooterButtons _51mw""></td></tr></tbody></table></div></div>"
Flo Technologies,2018-03-02 23:41:22.870426-05,"<p>Thanks for the shout out <a class=""profileLink"" href=""https://www.facebook.com/ConsumerReports/"">Consumer Reports</a><br> Did you know that Flo’s one of the few smart home water systems that applies machine learning to monitor your home’s water usage… And in the case of dangerous leaks, can shut off automatically to protect your home?</p>","[{""target"": ""Gender"", ""segment"": ""men""}, {""target"": ""Age"", ""segment"": ""38 and older""}, {""target"": ""Region"", ""segment"": ""the United States""}]","<div><div class=""_4-i0 _26c5""><div class=""clearfix""><div class=""_51-u rfloat _ohf""><a class=""_42ft _5upp _50zy layerCancel _51-t _50-0 _50z-"" href=""nullblank"">Close</a></div><div><h3 id=""u_63_0"" class=""_52c9"">About This Facebook Ad</h3></div></div></div><div class=""_4-i2 _pig _4s3a _50f4""><div class=""_4uov""><div class=""_4uoz""><div id=""u_63_1""></div><div class=""_3-8x""><span class=""_4v6n""><div id=""u_63_2"">One reason you're seeing this ad is that <b id=""ad_prefs_advertiser"">Flo Technologies</b> wants to reach people who are part of an audience created based on information from data providers. Facebook works with data providers to help businesses find the right audiences for their ads. <a id=""ad_prefs_link"">Learn more about data providers.</a></div></span><div class=""_4hcd""><span>There may be other reasons you're seeing this ad, including that Flo Technologies wants to reach <b>men ages 38 and older who live or were recently in the United States</b>. This is information based on your Facebook profile and where you've connected to the internet.</span></div></div></div><div></div><div class=""_4uor _52jw""><div class=""_5aj7"" id=""u_63_3""><div class=""_4bl9""></div><div class=""_4bl7 _5r7v""><i class=""img sp_PVuC7pFCHqd sx_1baca1""><u>gear</u></i></div><div class=""_4bl7""><a href=""https://www.facebook.com/ads/preferences/"">Manage Your Ad Preferences</a></div></div></div><div class=""mhs pluginBoxDivider pluginBoxDividerGray _4uos""></div><div class=""_4uou""><div class=""_26c6 _3es4 fsl fwb fcb"">Tell Us What You Think</div><div><div class=""clearfix _ikh"" id=""u_63_4""><div class=""_4bl7 _3es3"">Was this explanation useful?</div><div class=""_4bl7 _2pit""><a href=""nullblank"" id=""u_63_5"">Yes</a></div><div class=""_4bl9 _2pit""><a href=""nullblank"" id=""u_63_6"">No</a></div></div><span class=""hidden_elem _3es3"" id=""u_63_7"">Thanks for your rating.</span></div></div></div></div><div class=""_5lnf uiOverlayFooter _5a8u _4866""><table class=""uiGrid _51mz uiOverlayFooterGrid""><tbody><tr class=""_51mx""><td class=""_51m- prs uiOverlayFooterMessage""><a><i class=""_4868 img sp_FVhLSYarIy5 sx_0ad9b2""><u>info</u></i><span class=""_4867"">Learn more about Facebook Ads</span></a></td><td class=""_51m- uiOverlayFooterButtons _51mw""></td></tr></tbody></table></div></div>"
Great Big Story,2018-02-11 22:37:58.728373-05,"<p>These days, data science is everywhere, down to the shoes on your feet. By applying data and advanced performance tracking to the design process, Reebok is shaping the athletic technology of the future.</p><p> This Great Big Story is a paid contribution by <a class=""profileLink"" href=""https://www.facebook.com/ReebokUS/"">Reebok</a>. (<a href=""http://bit.ly/2kCoJLQ"">http://bit.ly/2kCoJLQ</a>)</p>","[{""target"": ""Retargeting"", ""segment"": ""people who may be similar to their customers""}, {""target"": ""Gender"", ""segment"": ""men""}, {""target"": ""Age"", ""segment"": ""18 to 24""}, {""target"": ""Region"", ""segment"": ""the United States""}]","<div><div class=""_4-i0 _26c5""><div class=""clearfix""><div class=""_51-u rfloat _ohf""><a class=""_42ft _5upp _50zy layerCancel _51-t _50-0 _50z-"">Close</a></div><div><h3 id=""u_th_0"" class=""_52c9"">About This Facebook Ad</h3></div></div></div><div class=""_4-i2 _pig _4s3a _50f4""><div class=""_4uov""><div class=""_4uoz""><div id=""u_th_1""></div><div class=""_3-8x""><span class=""_4v6n""><div id=""u_th_2"">One reason you're seeing this ad is that <b id=""ad_prefs_advertiser"">Great Big Story</b> wants to reach <b>people who may be similar to their customers</b>. <a id=""ad_prefs_link"">Learn more.</a></div></span><div class=""_4hcd""><span>There may be other reasons you're seeing this ad, including that Great Big Story wants to reach <b>men ages 18 to 24 who live or were recently in the United States</b>. This is information based on your Facebook profile and where you've connected to the internet.</span></div></div></div><div></div><div class=""_4uor _52jw""><div class=""_5aj7"" id=""u_th_3""><div class=""_4bl9""></div><div class=""_4bl7 _5r7v""><i class=""img sp_PVuC7pFCHqd_1_5x sx_550f8e""><u>gear</u></i></div><div class=""_4bl7""><a href=""https://www.facebook.com/ads/preferences/"">Manage Your Ad Preferences</a></div></div></div><div class=""mhs pluginBoxDivider pluginBoxDividerGray _4uos""></div><div class=""_4uou""><div class=""_26c6 _3es4 fsl fwb fcb"">Tell Us What You Think</div><div><div class=""clearfix _ikh"" id=""u_th_4""><div class=""_4bl7 _3es3"">Was this explanation useful?</div><div class=""_4bl7 _2pit""><a id=""u_th_5"">Yes</a></div><div class=""_4bl9 _2pit""><a id=""u_th_6"">No</a></div></div><span class=""hidden_elem _3es3"" id=""u_th_7"">Thanks for your rating.</span></div></div></div></div><div class=""_5lnf uiOverlayFooter _5a8u _4866""><table class=""uiGrid _51mz uiOverlayFooterGrid""><tbody><tr class=""_51mx""><td class=""_51m- prs uiOverlayFooterMessage""><a><i class=""_4868 img sp_FVhLSYarIy5_1_5x sx_75b162""><u>info</u></i><span class=""_4867"">Learn more about Facebook Ads</span></a></td><td class=""_51m- uiOverlayFooterButtons _51mw""></td></tr></tbody></table></div></div>"
Bombas,2018-03-04 02:30:35.765603-05,"<p>F​our years ago, two ​guys​ quit their jobs at a media company and decided to make a difference in the world with socks.​ Here's how it turned out:</p>","[{""target"": ""Retargeting"", ""segment"": ""people who may be similar to their customers""}, {""target"": ""Gender"", ""segment"": ""men""}, {""target"": ""Age"", ""segment"": ""25 and older""}, {""target"": ""Region"", ""segment"": ""the United States""}]","<div><div class=""_4-i0 _26c5""><div class=""clearfix""><div class=""_51-u rfloat _ohf""><a class=""_42ft _5upp _50zy layerCancel _51-t _50-0 _50z-"" href=""nullblank"">Close</a></div><div><h3 id=""u_28_0"" class=""_52c9"">About This Facebook Ad</h3></div></div></div><div class=""_4-i2 _pig _4s3a _50f4""><div class=""_4uov""><div class=""_4uoz""><div id=""u_28_1""></div><div class=""_3-8x""><span class=""_4v6n""><div id=""u_28_2"">One reason you're seeing this ad is that <b id=""ad_prefs_advertiser"">Bombas</b> wants to reach <b>people who may be similar to their customers</b>. <a id=""ad_prefs_link"">Learn more.</a></div></span><div class=""_4hcd""><span>There may be other reasons you're seeing this ad, including that Bombas wants to reach <b>men ages 25 and older who live in the United States</b>. This is information based on your Facebook profile and where you've connected to the internet.</span></div></div></div><div></div><div class=""_4uor _52jw""><div class=""_5aj7"" id=""u_28_3""><div class=""_4bl9""></div><div class=""_4bl7 _5r7v""><i class=""img sp_PVuC7pFCHqd_1_5x sx_550f8e""><u>gear</u></i></div><div class=""_4bl7""><a href=""https://www.facebook.com/ads/preferences/"">Manage Your Ad Preferences</a></div></div></div><div class=""mhs pluginBoxDivider pluginBoxDividerGray _4uos""></div><div class=""_4uou""><div class=""_26c6 _3es4 fsl fwb fcb"">Tell Us What You Think</div><div><div class=""clearfix _ikh"" id=""u_28_4""><div class=""_4bl7 _3es3"">Was this explanation useful?</div><div class=""_4bl7 _2pit""><a href=""nullblank"" id=""u_28_5"">Yes</a></div><div class=""_4bl9 _2pit""><a href=""nullblank"" id=""u_28_6"">No</a></div></div><span class=""hidden_elem _3es3"" id=""u_28_7"">Thanks for your rating.</span></div></div></div></div><div class=""_5lnf uiOverlayFooter _5a8u _4866""><table class=""uiGrid _51mz uiOverlayFooterGrid""><tbody><tr class=""_51mx""><td class=""_51m- prs uiOverlayFooterMessage""><a><i class=""_4868 img sp_FVhLSYarIy5_1_5x sx_75b162""><u>info</u></i><span class=""_4867"">Learn more about Facebook Ads</span></a></td><td class=""_51m- uiOverlayFooterButtons _51mw""></td></tr></tbody></table></div></div>"
